batch_size,vocab_size,config_name,seq_len,n_layers,h_dim,mlp_dim,head_dim,n_heads,compile,class,config,performance test,number of parameters,number of non-embedding parameters,device,model memory usage megabytes,step memory usage in megabytes,tokens per batch,avg step duration in ms,std step duration in ms,avg iterations per second,std iterations per second,tokens per second,OOM,flops,macs,params
1,16384,small,512,12,768,3072,64,12,default,<class 'torch._dynamo.eval_frame.OptimizedModule'>,"Munch({'data_root': '/data/languini_data/books', 'dataset': 'books_16384', 'vocab_size': 16384, 'debug': False, 'seed': 0, 'gradient_accumulation_steps': 1, 'train_batch_size': 1, 'eval_batch_size': 16, 'test_batch_size': 16, 'seq_len': 512, 'max_eval_steps': 512, 'max_train_steps': 500000, 'decay_steps': 500000, 'max_lr': 0.0006, 'min_lr': 6e-06, 'grad_clip_norm': 0.0, 'tokens_per_second': 0, 'eval_every': 1000, 'test_every': -1, 'log_terminal_every': 100, 'log_metrics_every': 100, 'log_grads_every': 1000, 'log_activations_every': -1, 'log_ckpt_every': 5000, 'logger_type': 'all', 'wandb_project_name': 'lstm', 'is_quasi': True, 'n_layers': 12, 'h_dim': 768, 'mlp_dim': 3072, 'head_dim': 64, 'n_heads': 12, 'block_length': 16, 'project_path': '/home/imanol/Languini/languini/projects/lstm', 'compile': 'default', 'results_pickle_file': '/tmp/tmppk9ydu4o/throughput_results_bsz1.pkl', 'n_gpus': 1, 'device': 'cuda', 'exp_name': 'quasiLSTM_bl16_books16384_bsz1_micro1_sl512_coslr0.0006to6e-06_h768_ff3072_nH12_dH64_nl12_clip0.0_decay500k_gpus1_defaultCompile_fp16_fast_coupled'})",forward and backward,110221824,97638912,NVIDIA GeForce RTX 3090,804.650390625,1345.86865234375,512,513.0922783745659,12.66859240999843,1.9489671588274875,0.0475408030802847,998,False,100.07 G,49.93 GMACs,110.22 M
8,16384,small,512,12,768,3072,64,12,default,<class 'torch._dynamo.eval_frame.OptimizedModule'>,"Munch({'data_root': '/data/languini_data/books', 'dataset': 'books_16384', 'vocab_size': 16384, 'debug': False, 'seed': 0, 'gradient_accumulation_steps': 1, 'train_batch_size': 8, 'eval_batch_size': 16, 'test_batch_size': 16, 'seq_len': 512, 'max_eval_steps': 512, 'max_train_steps': 500000, 'decay_steps': 500000, 'max_lr': 0.0006, 'min_lr': 6e-06, 'grad_clip_norm': 0.0, 'tokens_per_second': 0, 'eval_every': 1000, 'test_every': -1, 'log_terminal_every': 100, 'log_metrics_every': 100, 'log_grads_every': 1000, 'log_activations_every': -1, 'log_ckpt_every': 5000, 'logger_type': 'all', 'wandb_project_name': 'lstm', 'is_quasi': True, 'n_layers': 12, 'h_dim': 768, 'mlp_dim': 3072, 'head_dim': 64, 'n_heads': 12, 'block_length': 16, 'project_path': '/home/imanol/Languini/languini/projects/lstm', 'compile': 'default', 'results_pickle_file': '/tmp/tmppk9ydu4o/throughput_results_bsz8.pkl', 'n_gpus': 1, 'device': 'cuda', 'exp_name': 'quasiLSTM_bl16_books16384_bsz8_micro1_sl512_coslr0.0006to6e-06_h768_ff3072_nH12_dH64_nl12_clip0.0_decay500k_gpus1_defaultCompile_fp16_fast_coupled'})",forward and backward,110221824,97638912,NVIDIA GeForce RTX 3090,804.650390625,1504.18505859375,4096,546.6185031467014,12.065787818709396,1.8294294727370766,0.03979035781717782,7493,False
16,16384,small,512,12,768,3072,64,12,default,<class 'torch._dynamo.eval_frame.OptimizedModule'>,"Munch({'data_root': '/data/languini_data/books', 'dataset': 'books_16384', 'vocab_size': 16384, 'debug': False, 'seed': 0, 'gradient_accumulation_steps': 1, 'train_batch_size': 16, 'eval_batch_size': 16, 'test_batch_size': 16, 'seq_len': 512, 'max_eval_steps': 512, 'max_train_steps': 500000, 'decay_steps': 500000, 'max_lr': 0.0006, 'min_lr': 6e-06, 'grad_clip_norm': 0.0, 'tokens_per_second': 0, 'eval_every': 1000, 'test_every': -1, 'log_terminal_every': 100, 'log_metrics_every': 100, 'log_grads_every': 1000, 'log_activations_every': -1, 'log_ckpt_every': 5000, 'logger_type': 'all', 'wandb_project_name': 'lstm', 'is_quasi': True, 'n_layers': 12, 'h_dim': 768, 'mlp_dim': 3072, 'head_dim': 64, 'n_heads': 12, 'block_length': 16, 'project_path': '/home/imanol/Languini/languini/projects/lstm', 'compile': 'default', 'results_pickle_file': '/tmp/tmppk9ydu4o/throughput_results_bsz16.pkl', 'n_gpus': 1, 'device': 'cuda', 'exp_name': 'quasiLSTM_bl16_books16384_bsz16_micro1_sl512_coslr0.0006to6e-06_h768_ff3072_nH12_dH64_nl12_clip0.0_decay500k_gpus1_defaultCompile_fp16_fast_coupled'})",forward and backward,110221824,97638912,NVIDIA GeForce RTX 3090,804.650390625,1667.27880859375,8192,748.2919311523438,8.795723494693307,1.3363768315128488,0.01534989802403702,10948,False
17,16384,small,512,12,768,3072,64,12,default,<class 'torch._dynamo.eval_frame.OptimizedModule'>,"Munch({'data_root': '/data/languini_data/books', 'dataset': 'books_16384', 'vocab_size': 16384, 'debug': False, 'seed': 0, 'gradient_accumulation_steps': 1, 'train_batch_size': 17, 'eval_batch_size': 16, 'test_batch_size': 16, 'seq_len': 512, 'max_eval_steps': 512, 'max_train_steps': 500000, 'decay_steps': 500000, 'max_lr': 0.0006, 'min_lr': 6e-06, 'grad_clip_norm': 0.0, 'tokens_per_second': 0, 'eval_every': 1000, 'test_every': -1, 'log_terminal_every': 100, 'log_metrics_every': 100, 'log_grads_every': 1000, 'log_activations_every': -1, 'log_ckpt_every': 5000, 'logger_type': 'all', 'wandb_project_name': 'lstm', 'is_quasi': True, 'n_layers': 12, 'h_dim': 768, 'mlp_dim': 3072, 'head_dim': 64, 'n_heads': 12, 'block_length': 16, 'project_path': '/home/imanol/Languini/languini/projects/lstm', 'compile': 'default', 'results_pickle_file': '/tmp/tmppk9ydu4o/throughput_results_bsz17.pkl', 'n_gpus': 1, 'device': 'cuda', 'exp_name': 'quasiLSTM_bl16_books16384_bsz17_micro1_sl512_coslr0.0006to6e-06_h768_ff3072_nH12_dH64_nl12_clip0.0_decay500k_gpus1_defaultCompile_fp16_fast_coupled'})",forward and backward,110221824,97638912,NVIDIA GeForce RTX 3090,804.650390625,1660.59521484375,8704,781.1245998806423,9.86901112035412,1.2802054885389633,0.016061594974690174,11143,False
18,16384,small,512,12,768,3072,64,12,default,<class 'torch._dynamo.eval_frame.OptimizedModule'>,"Munch({'data_root': '/data/languini_data/books', 'dataset': 'books_16384', 'vocab_size': 16384, 'debug': False, 'seed': 0, 'gradient_accumulation_steps': 1, 'train_batch_size': 17, 'eval_batch_size': 16, 'test_batch_size': 16, 'seq_len': 512, 'max_eval_steps': 512, 'max_train_steps': 500000, 'decay_steps': 500000, 'max_lr': 0.0006, 'min_lr': 6e-06, 'grad_clip_norm': 0.0, 'tokens_per_second': 0, 'eval_every': 1000, 'test_every': -1, 'log_terminal_every': 100, 'log_metrics_every': 100, 'log_grads_every': 1000, 'log_activations_every': -1, 'log_ckpt_every': 5000, 'logger_type': 'all', 'wandb_project_name': 'lstm', 'is_quasi': True, 'n_layers': 12, 'h_dim': 768, 'mlp_dim': 3072, 'head_dim': 64, 'n_heads': 12, 'block_length': 16, 'project_path': '/home/imanol/Languini/languini/projects/lstm', 'compile': 'default', 'results_pickle_file': '/tmp/tmppk9ydu4o/throughput_results_bsz17.pkl', 'n_gpus': 1, 'device': 'cuda', 'exp_name': 'quasiLSTM_bl16_books16384_bsz17_micro1_sl512_coslr0.0006to6e-06_h768_ff3072_nH12_dH64_nl12_clip0.0_decay500k_gpus1_defaultCompile_fp16_fast_coupled'})",forward and backward,110221824,97638912,NVIDIA GeForce RTX 3090,0,0,0,0,0,0,0,0,True
20,16384,small,512,12,768,3072,64,12,default,<class 'torch._dynamo.eval_frame.OptimizedModule'>,"Munch({'data_root': '/data/languini_data/books', 'dataset': 'books_16384', 'vocab_size': 16384, 'debug': False, 'seed': 0, 'gradient_accumulation_steps': 1, 'train_batch_size': 17, 'eval_batch_size': 16, 'test_batch_size': 16, 'seq_len': 512, 'max_eval_steps': 512, 'max_train_steps': 500000, 'decay_steps': 500000, 'max_lr': 0.0006, 'min_lr': 6e-06, 'grad_clip_norm': 0.0, 'tokens_per_second': 0, 'eval_every': 1000, 'test_every': -1, 'log_terminal_every': 100, 'log_metrics_every': 100, 'log_grads_every': 1000, 'log_activations_every': -1, 'log_ckpt_every': 5000, 'logger_type': 'all', 'wandb_project_name': 'lstm', 'is_quasi': True, 'n_layers': 12, 'h_dim': 768, 'mlp_dim': 3072, 'head_dim': 64, 'n_heads': 12, 'block_length': 16, 'project_path': '/home/imanol/Languini/languini/projects/lstm', 'compile': 'default', 'results_pickle_file': '/tmp/tmppk9ydu4o/throughput_results_bsz17.pkl', 'n_gpus': 1, 'device': 'cuda', 'exp_name': 'quasiLSTM_bl16_books16384_bsz17_micro1_sl512_coslr0.0006to6e-06_h768_ff3072_nH12_dH64_nl12_clip0.0_decay500k_gpus1_defaultCompile_fp16_fast_coupled'})",forward and backward,110221824,97638912,NVIDIA GeForce RTX 3090,0,0,0,0,0,0,0,0,True
24,16384,small,512,12,768,3072,64,12,default,<class 'torch._dynamo.eval_frame.OptimizedModule'>,"Munch({'data_root': '/data/languini_data/books', 'dataset': 'books_16384', 'vocab_size': 16384, 'debug': False, 'seed': 0, 'gradient_accumulation_steps': 1, 'train_batch_size': 17, 'eval_batch_size': 16, 'test_batch_size': 16, 'seq_len': 512, 'max_eval_steps': 512, 'max_train_steps': 500000, 'decay_steps': 500000, 'max_lr': 0.0006, 'min_lr': 6e-06, 'grad_clip_norm': 0.0, 'tokens_per_second': 0, 'eval_every': 1000, 'test_every': -1, 'log_terminal_every': 100, 'log_metrics_every': 100, 'log_grads_every': 1000, 'log_activations_every': -1, 'log_ckpt_every': 5000, 'logger_type': 'all', 'wandb_project_name': 'lstm', 'is_quasi': True, 'n_layers': 12, 'h_dim': 768, 'mlp_dim': 3072, 'head_dim': 64, 'n_heads': 12, 'block_length': 16, 'project_path': '/home/imanol/Languini/languini/projects/lstm', 'compile': 'default', 'results_pickle_file': '/tmp/tmppk9ydu4o/throughput_results_bsz17.pkl', 'n_gpus': 1, 'device': 'cuda', 'exp_name': 'quasiLSTM_bl16_books16384_bsz17_micro1_sl512_coslr0.0006to6e-06_h768_ff3072_nH12_dH64_nl12_clip0.0_decay500k_gpus1_defaultCompile_fp16_fast_coupled'})",forward and backward,110221824,97638912,NVIDIA GeForce RTX 3090,0,0,0,0,0,0,0,0,True
1,16384,mini,512,4,512,2048,32,8,default,<class 'torch._dynamo.eval_frame.OptimizedModule'>,"Munch({'data_root': '/data/languini_data/books', 'dataset': 'books_16384', 'vocab_size': 16384, 'debug': False, 'seed': 0, 'gradient_accumulation_steps': 1, 'train_batch_size': 1, 'eval_batch_size': 16, 'test_batch_size': 16, 'seq_len': 512, 'max_eval_steps': 512, 'max_train_steps': 500000, 'decay_steps': 500000, 'max_lr': 0.0006, 'min_lr': 6e-06, 'grad_clip_norm': 0.0, 'tokens_per_second': 0, 'eval_every': 1000, 'test_every': -1, 'log_terminal_every': 100, 'log_metrics_every': 100, 'log_grads_every': 1000, 'log_activations_every': -1, 'log_ckpt_every': 5000, 'logger_type': 'all', 'wandb_project_name': 'lstm', 'is_quasi': True, 'n_layers': 4, 'h_dim': 512, 'mlp_dim': 2048, 'head_dim': 32, 'n_heads': 8, 'block_length': 16, 'project_path': '/home/imanol/Languini/languini/projects/lstm', 'compile': 'default', 'results_pickle_file': '/tmp/tmpcwj7nj0i/throughput_results_bsz1.pkl', 'n_gpus': 1, 'device': 'cuda', 'exp_name': 'quasiLSTM_bl16_books16384_bsz1_micro1_sl512_coslr0.0006to6e-06_h512_ff2048_nH8_dH32_nl4_clip0.0_decay500k_gpus1_defaultCompile_fp16_fast_coupled'})",forward and backward,27287552,18898944,NVIDIA GeForce RTX 3090,232.15625,347.62255859375,512,164.83113437228732,2.4209060979980905,6.066815009240922,0.08970906672922854,3106,False,19.36 G,9.66 GMACs,27.29 M
8,16384,mini,512,4,512,2048,32,8,default,<class 'torch._dynamo.eval_frame.OptimizedModule'>,"Munch({'data_root': '/data/languini_data/books', 'dataset': 'books_16384', 'vocab_size': 16384, 'debug': False, 'seed': 0, 'gradient_accumulation_steps': 1, 'train_batch_size': 8, 'eval_batch_size': 16, 'test_batch_size': 16, 'seq_len': 512, 'max_eval_steps': 512, 'max_train_steps': 500000, 'decay_steps': 500000, 'max_lr': 0.0006, 'min_lr': 6e-06, 'grad_clip_norm': 0.0, 'tokens_per_second': 0, 'eval_every': 1000, 'test_every': -1, 'log_terminal_every': 100, 'log_metrics_every': 100, 'log_grads_every': 1000, 'log_activations_every': -1, 'log_ckpt_every': 5000, 'logger_type': 'all', 'wandb_project_name': 'lstm', 'is_quasi': True, 'n_layers': 4, 'h_dim': 512, 'mlp_dim': 2048, 'head_dim': 32, 'n_heads': 8, 'block_length': 16, 'project_path': '/home/imanol/Languini/languini/projects/lstm', 'compile': 'default', 'results_pickle_file': '/tmp/tmpcwj7nj0i/throughput_results_bsz8.pkl', 'n_gpus': 1, 'device': 'cuda', 'exp_name': 'quasiLSTM_bl16_books16384_bsz8_micro1_sl512_coslr0.0006to6e-06_h512_ff2048_nH8_dH32_nl4_clip0.0_decay500k_gpus1_defaultCompile_fp16_fast_coupled'})",forward and backward,27287552,18898944,NVIDIA GeForce RTX 3090,232.15625,362.77490234375,4096,157.14833238389758,1.6522673226691484,6.3634146467243475,0.06710754423321963,26065,False,154.86 G,77.31 GMACs,27.29 M
16,16384,mini,512,4,512,2048,32,8,default,<class 'torch._dynamo.eval_frame.OptimizedModule'>,"Munch({'data_root': '/data/languini_data/books', 'dataset': 'books_16384', 'vocab_size': 16384, 'debug': False, 'seed': 0, 'gradient_accumulation_steps': 1, 'train_batch_size': 16, 'eval_batch_size': 16, 'test_batch_size': 16, 'seq_len': 512, 'max_eval_steps': 512, 'max_train_steps': 500000, 'decay_steps': 500000, 'max_lr': 0.0006, 'min_lr': 6e-06, 'grad_clip_norm': 0.0, 'tokens_per_second': 0, 'eval_every': 1000, 'test_every': -1, 'log_terminal_every': 100, 'log_metrics_every': 100, 'log_grads_every': 1000, 'log_activations_every': -1, 'log_ckpt_every': 5000, 'logger_type': 'all', 'wandb_project_name': 'lstm', 'is_quasi': True, 'n_layers': 4, 'h_dim': 512, 'mlp_dim': 2048, 'head_dim': 32, 'n_heads': 8, 'block_length': 16, 'project_path': '/home/imanol/Languini/languini/projects/lstm', 'compile': 'default', 'results_pickle_file': '/tmp/tmpcwj7nj0i/throughput_results_bsz16.pkl', 'n_gpus': 1, 'device': 'cuda', 'exp_name': 'quasiLSTM_bl16_books16384_bsz16_micro1_sl512_coslr0.0006to6e-06_h512_ff2048_nH8_dH32_nl4_clip0.0_decay500k_gpus1_defaultCompile_fp16_fast_coupled'})",forward and backward,27287552,18898944,NVIDIA GeForce RTX 3090,232.15625,379.86865234375,8192,163.0372806125217,1.4845746459915286,6.133566483954207,0.055640615077882094,50246,False,309.71 G,154.62 GMACs,27.29 M
24,16384,mini,512,4,512,2048,32,8,default,<class 'torch._dynamo.eval_frame.OptimizedModule'>,"Munch({'data_root': '/data/languini_data/books', 'dataset': 'books_16384', 'vocab_size': 16384, 'debug': False, 'seed': 0, 'gradient_accumulation_steps': 1, 'train_batch_size': 24, 'eval_batch_size': 16, 'test_batch_size': 16, 'seq_len': 512, 'max_eval_steps': 512, 'max_train_steps': 500000, 'decay_steps': 500000, 'max_lr': 0.0006, 'min_lr': 6e-06, 'grad_clip_norm': 0.0, 'tokens_per_second': 0, 'eval_every': 1000, 'test_every': -1, 'log_terminal_every': 100, 'log_metrics_every': 100, 'log_grads_every': 1000, 'log_activations_every': -1, 'log_ckpt_every': 5000, 'logger_type': 'all', 'wandb_project_name': 'lstm', 'is_quasi': True, 'n_layers': 4, 'h_dim': 512, 'mlp_dim': 2048, 'head_dim': 32, 'n_heads': 8, 'block_length': 16, 'project_path': '/home/imanol/Languini/languini/projects/lstm', 'compile': 'default', 'results_pickle_file': '/tmp/tmpcwj7nj0i/throughput_results_bsz24.pkl', 'n_gpus': 1, 'device': 'cuda', 'exp_name': 'quasiLSTM_bl16_books16384_bsz24_micro1_sl512_coslr0.0006to6e-06_h512_ff2048_nH8_dH32_nl4_clip0.0_decay500k_gpus1_defaultCompile_fp16_fast_coupled'})",forward and backward,27287552,18898944,NVIDIA GeForce RTX 3090,232.15625,396.46240234375,12288,201.29561869303384,1.2688136908033179,4.967818010609322,0.031306154581775526,61045,False,464.57 G,231.93 GMACs,27.29 M
